Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Dan Ross,23,CIN,TE,16,16,0,0,0,0,1,0,0,0,0.0,,0,
Abdul Salaam,27,NYJ,LDT,16,16,0,0,0,0,0,1,0,0,1.0,,0,
Lucius Sanford,24,BUF,LOLB,16,16,0,0,0,0,0,2,-1,0,3.0,,0,
Rich Saul,32,RAM,C,16,16,0,0,0,0,1,0,-23,0,0.0,,0,"PB,AP-2"
John Sawyer,27,SEA,TE,16,16,0,0,0,0,1,0,0,0,0.0,,0,
Terry Schmidt,28,CHI,LCB,16,16,1,0,0,0,0,1,0,0,0.0,,0,
Clarence Scott,31,CLE,SS,16,16,2,14,0,9,0,0,0,0,0.0,,0,
Freddie Scott,28,DET,WR,16,16,0,0,0,0,2,3,4,0,0.0,,0,
Lee Roy Selmon,26,TAM,RDE,16,16,0,0,0,0,0,2,0,0,9.0,,0,"PB,AP-2"
Art Shell,34,OAK,LT,16,16,0,0,0,0,0,3,0,0,0.0,,0,PB
Donnie Shell,28,PIT,SS,16,16,7,135,0,67,0,1,7,0,0.0,,0,"PB,AP-1"
Billy Shields,27,SDG,LT,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Rod Shoate,27,NWE,ROLB,16,16,3,50,1,42,0,1,0,0,5.5,,0,
Roy Simmons,24,NYG,LG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Ed Simonini,26,BAL,MLB,16,16,0,0,0,0,0,2,0,0,1.0,,0,
Keith Simpson,24,SEA,SS,16,16,3,15,0,10,0,1,3,0,1.0,,0,
Billy Sims,25,DET,RB,16,16,0,0,0,0,12,1,-17,0,0.0,,0,"PB,AP-2,AP ORoY-1"
Brian Sipe,31,CLE,QB,16,16,0,0,0,0,3,1,-4,0,0.0,,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
Gerald Small,24,MIA,RCB,16,16,7,46,0,22,0,1,0,0,0.0,,0,
Fred Smerlas,23,BUF,NT,16,16,0,0,0,0,0,0,0,0,6.5,,0,"PB,AP DPoY-5"
J.T. Smith,25,KAN,WR,16,16,0,0,0,0,1,2,0,0,0.0,,0,"PB,AP-1"
Gary Spani,24,KAN,RILB,16,16,1,47,1,47,0,4,16,1,2.5,,0,
Ken Stabler,35,HOU,QB,16,16,0,0,0,0,7,2,-16,0,0.0,,0,
Greg Stemrick,29,HOU,RCB,16,16,4,25,0,15,0,1,-4,0,0.0,,0,PB
Art Still,25,KAN,LDE,16,16,0,0,0,0,0,1,0,0,14.5,,0,"PB,AP-2"
