Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Donald Penn,27,TAM,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Julius Peppers,30,CHI,RDE,16,16,2,1,0,1,9,3,0,0,0,0,8.0,54,43,11,11.0,18.0,0,"PB,AP-1,AP DPoY-4"
Shaun Phillips,29,SDG,LOLB,16,16,1,31,1,31,7,0,0,1,0,0,11.0,55,47,8,17.0,12.0,0,PB
Maurkice Pouncey,21,PIT,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2,AP ORoY-3"
Glover Quin,24,HOU,LCB,16,16,3,12,0,10,14,1,0,2,3,0,0.0,85,71,14,3.0,1.0,0,
Dominic Raiola,32,DET,C,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,
B.J. Raji,24,GNB,NT,16,16,0,0,0,0,3,0,0,0,0,0,6.5,39,29,10,10.0,9.0,0,
Jay Ratliff,29,DAL,NT,16,16,0,0,0,0,2,1,0,2,0,0,3.5,31,23,8,3.0,8.0,0,PB
Kerry Rhodes,28,ARI,FS,16,16,4,174,0,66,12,0,1,4,69,2,1.0,90,78,12,3.0,4.0,0,
Philip Rivers,29,SDG,QB,16,16,0,0,0,0,0,0,7,2,-18,0,0.0,0,0,0,0.0,0.0,0,"PB,AP OPoY-4"
Fred Robbins,33,STL,LDT,16,16,0,0,0,0,6,1,0,2,1,0,6.0,28,26,2,10.0,11.0,0,
Bryan Robinson,36,ARI,NT,16,16,0,0,0,0,1,0,0,0,0,0,0.0,19,13,6,2.0,0.0,0,
Dominique Rodgers-Cromartie,24,ARI,LCB,16,16,3,86,2,32,17,0,1,0,0,0,0.0,44,42,2,0.0,0.0,0,
Antrel Rolle,28,NYG,FS,16,16,1,36,0,36,4,1,0,2,4,0,0.5,87,76,11,7.0,8.0,0,"PB,AP-2"
Matt Roth,28,CLE,LOLB,16,16,0,0,0,0,2,0,0,0,0,0,3.5,86,59,27,7.0,11.0,0,
Ahtyba Rubin,24,CLE,NT,16,16,1,1,0,1,2,0,0,0,0,0,2.0,82,57,25,2.0,4.0,0,
Barrett Ruud,27,TAM,MLB,16,16,1,1,0,1,4,2,0,0,0,0,2.0,118,85,33,4.0,3.0,0,
Matt Ryan,25,ATL,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,PB
Mark Sanchez,24,NYJ,QB,16,16,0,0,0,0,0,0,9,3,-6,0,0.0,0,0,0,0.0,0.0,0,
Jeff Saturday,35,IND,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Matt Schaub,29,HOU,QB,16,16,0,0,0,0,0,0,9,1,-15,0,0.0,0,0,0,0.0,0.0,0,
Geoff Schwartz,24,CAR,RG/RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Bart Scott,30,NYJ,LILB,16,16,0,0,0,0,2,1,0,1,0,0,1.0,81,59,22,7.0,9.0,0,
Lyle Sendlein,26,ARI,C,16,16,0,0,0,0,0,0,2,2,-3,0,0.0,0,0,0,0.0,0.0,0,
Rich Seubert,31,NYG,C/LG,16,16,0,0,0,0,0,0,1,2,-13,0,0.0,0,0,0,0.0,0.0,0,
Josh Sitton,24,GNB,RG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
Antonio Smith,29,HOU,LDE,16,16,0,0,0,0,2,1,0,0,0,0,4.0,38,23,15,7.0,22.0,0,
Daryl Smith,28,JAX,LLB,16,16,1,8,0,8,5,1,0,0,0,0,3.5,97,75,22,9.0,9.0,0,
Justin Smith,31,SFO,RDE,16,16,0,0,0,0,1,1,0,0,0,0,8.5,70,57,13,12.0,17.0,0,PB
Wade Smith,29,HOU,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Isaac Sopoaga,29,SFO,LDE,16,16,0,0,0,0,1,0,0,0,0,0,1.5,25,17,8,2.0,3.0,0,
Anthony Spencer,26,DAL,LOLB,16,16,0,0,0,0,2,2,0,1,0,0,5.0,63,52,11,5.0,7.0,0,
Shawntae Spencer,28,SFO,LCB,16,16,3,0,0,0,9,1,0,1,0,0,0.5,42,38,4,0.0,1.0,0,
Takeo Spikes,34,SFO,LILB,16,16,3,9,0,6,9,0,0,1,8,0,0.0,109,82,27,3.0,2.0,0,
Randy Starks,27,MIA,RDE,16,16,0,0,0,0,3,0,0,1,0,0,3.0,30,26,4,4.0,6.0,0,PB
Jon Stinchcomb,31,NOR,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Terrell Suggs,28,BAL,LOLB,16,16,0,0,0,0,2,2,0,0,0,0,11.0,68,53,15,18.0,21.0,0,PB
Ndamukong Suh,23,DET,LDT,16,16,1,20,0,20,3,1,0,1,17,1,10.0,66,49,17,13.0,17.0,0,"PB,AP-1,AP DRoY-1"
Lofa Tatupu,28,SEA,MLB,16,16,1,26,1,26,8,1,0,0,0,0,1.0,89,59,30,4.0,2.0,0,
Earl Thomas,21,SEA,FS,16,16,5,68,0,34,7,1,0,0,0,0,0.0,76,64,12,1.0,2.0,0,
Terrell Thomas,25,NYG,RCB,16,16,5,56,0,28,21,4,0,2,0,0,1.0,101,81,20,3.0,2.0,0,
Charles Tillman,29,CHI,RCB,16,16,5,127,0,56,14,4,0,2,-8,0,0.0,82,71,11,1.0,1.0,0,
Marcus Trufant,30,SEA,LCB,16,16,1,32,1,32,8,1,0,2,0,0,0.0,80,65,15,1.0,0.0,0,
Justin Tuck,27,NYG,LDE,16,16,0,0,0,0,4,5,0,5,4,0,11.5,76,48,28,16.0,22.0,0,"PB,AP-2"
Stephen Tulloch,25,TEN,MLB,16,16,1,18,0,18,6,0,0,1,0,0,1.0,160,111,49,6.0,5.0,0,
Osi Umenyiora,29,NYG,RDE,16,16,0,0,0,0,2,10,0,1,0,0,11.5,48,33,15,4.0,20.0,0,AP-2
Brian Urlacher,32,CHI,MLB,16,16,1,0,0,0,10,1,0,3,0,0,4.0,126,97,29,13.0,5.0,0,"PB,AP-2,AP DPoY-5,AP CPoY-4"
Jonathan Vilma,28,NOR,MLB,16,16,1,5,0,5,3,3,0,1,0,0,4.0,105,70,35,6.0,9.0,0,PB
Mike Vrabel,35,KAN,LOLB,16,16,0,0,0,0,1,1,0,0,0,0,0.0,48,30,18,2.0,6.0,0,
Cameron Wake,28,MIA,ROLB,16,16,0,0,0,0,4,3,0,0,0,0,14.0,57,48,9,21.0,26.0,0,"PB,AP-2"
Mike Wallace,24,PIT,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0.0,0.0,0,
J.D. Walton,23,DEN,C,16,16,0,0,0,0,0,0,1,0,-13,0,0.0,1,0,1,0.0,0.0,0,
T.J. Ward,24,CLE,SS,16,16,2,39,0,23,10,1,0,0,0,0,0.0,123,95,28,4.0,0.0,0,
DeMarcus Ware,28,DAL,ROLB,16,16,0,0,0,0,1,2,0,2,22,1,15.5,66,56,10,21.0,23.0,0,"PB,AP-2"
Reggie Wayne,32,IND,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1"
Eric Weddle,25,SDG,FS,16,16,2,64,1,41,10,0,0,0,0,0,0.5,96,80,16,4.0,1.0,0,AP-2
Roddy White,29,ATL,WR,16,16,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-1,AP OPoY-5"
Donte Whitner,25,BUF,SS,16,16,1,37,0,37,7,1,0,1,0,0,0.5,140,96,44,1.0,1.0,0,
Andrew Whitworth,29,CIN,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Casey Wiegmann,37,KAN,C,16,16,0,0,0,0,0,0,1,2,-6,0,0.0,0,0,0,0.0,0.0,0,
Vince Wilfork,29,NWE,LDE,16,16,0,0,0,0,2,0,0,1,0,0,2.0,57,46,11,8.0,4.0,0,"PB,AP-2"
Corey Williams,30,DET,RDT,16,16,1,27,0,27,4,1,0,0,0,0,2.0,37,32,5,8.0,7.0,0,
Jamal Williams,34,DEN,NT,16,16,0,0,0,0,1,0,0,0,0,0,0.0,47,31,16,1.0,0.0,0,
Kevin Williams,30,MIN,RDT,16,16,0,0,0,0,10,1,0,0,0,0,1.0,39,27,12,8.0,7.0,0,PB
Kyle Williams,27,BUF,NT,16,16,0,0,0,0,1,0,0,2,11,0,5.5,76,54,22,16.0,13.0,0,"PB,AP-2"
Mike Williams,23,TAM,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,AP ORoY-2
