Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Michael Jenkins,27.0,ATL,15.0,9.0,90.0,50.0,635.0,12.7,1.0,29.0,43.3,50.0,3.3,42.3,55.6,7.1,0.0,
Chris Johnson,24.0,TEN,16.0,16.0,71.0,50.0,503.0,10.1,2.0,18.0,39.4,69.0,3.1,31.4,70.4,7.1,3.0,"PB,AP-1,AP OPoY-1"
Antwaan Randle El,30.0,WAS,16.0,3.0,77.0,50.0,530.0,10.6,0.0,33.0,50.6,44.0,3.1,33.1,64.9,6.9,4.0,
Michael Crabtree,22.0,SFO,11.0,11.0,86.0,48.0,625.0,13.0,2.0,28.0,37.2,50.0,4.4,56.8,55.8,7.3,1.0,
Fred Davis,23.0,WAS,16.0,10.0,76.0,48.0,509.0,10.6,6.0,31.0,48.7,29.0,3.0,31.8,63.2,6.7,0.0,
Jeremy Shockey,29.0,NOR,13.0,12.0,67.0,48.0,569.0,11.9,3.0,29.0,61.2,66.0,3.7,43.8,71.6,8.5,0.0,
Mike Thomas,22.0,JAX,14.0,4.0,62.0,48.0,453.0,9.4,1.0,28.0,66.1,28.0,3.4,32.4,77.4,7.3,1.0,
Donnie Avery,25.0,STL,16.0,16.0,97.0,47.0,589.0,12.5,5.0,24.0,39.2,50.0,2.9,36.8,48.5,6.1,2.0,
Dwayne Bowe,25.0,KAN,11.0,9.0,87.0,47.0,589.0,12.5,4.0,30.0,44.8,41.0,4.3,53.5,54.0,6.8,1.0,
Reggie Bush,24.0,NOR,14.0,8.0,68.0,47.0,335.0,7.1,3.0,16.0,48.5,29.0,3.4,23.9,69.1,4.9,4.0,
Pierre Garcon,23.0,IND,14.0,13.0,92.0,47.0,765.0,16.3,4.0,33.0,45.7,66.0,3.4,54.6,51.1,8.3,1.0,
Hakeem Nicks,21.0,NYG,14.0,6.0,74.0,47.0,790.0,16.8,6.0,32.0,51.4,68.0,3.4,56.4,63.5,10.7,2.0,
Nate Washington,26.0,TEN,16.0,15.0,95.0,47.0,569.0,12.1,6.0,34.0,43.2,35.0,2.9,35.6,49.5,6.0,1.0,
Fred Jackson,28.0,BUF,16.0,11.0,61.0,46.0,371.0,8.1,2.0,22.0,42.6,21.0,2.9,23.2,75.4,6.1,4.0,
Deion Branch,30.0,SEA,14.0,5.0,79.0,45.0,437.0,9.7,2.0,18.0,40.5,35.0,3.2,31.2,57.0,5.5,0.0,
Malcom Floyd,28.0,SDG,16.0,9.0,76.0,45.0,776.0,17.2,1.0,36.0,57.9,53.0,2.8,48.5,59.2,10.2,0.0,
Dustin Keller,25.0,NYJ,16.0,12.0,82.0,45.0,522.0,11.6,2.0,27.0,40.2,40.0,2.8,32.6,54.9,6.4,1.0,
Johnny Knox,23.0,CHI,15.0,0.0,80.0,45.0,527.0,11.7,5.0,22.0,41.3,68.0,3.0,35.1,56.3,6.6,3.0,PB
Robert Meachem,25.0,NOR,16.0,7.0,64.0,45.0,722.0,16.0,9.0,30.0,54.7,54.0,2.8,45.1,70.3,11.3,2.0,
Bo Scaife,28.0,TEN,14.0,10.0,70.0,45.0,440.0,9.8,1.0,24.0,45.7,27.0,3.2,31.4,64.3,6.3,1.0,
Darren Sproles,26.0,SDG,16.0,2.0,57.0,45.0,497.0,11.0,4.0,20.0,50.9,81.0,2.8,31.1,78.9,8.7,3.0,
Chris Chambers,31.0,2TM,16.0,14.0,92.0,45.0,730.0,16.2,5.0,32.0,42.4,61.0,2.8,45.6,48.9,7.9,0.0,
Braylon Edwards,26.0,2TM,16.0,15.0,95.0,45.0,680.0,15.1,4.0,36.0,45.3,65.0,2.8,42.5,47.4,7.2,1.0,
Lee Evans,28.0,BUF,16.0,16.0,96.0,44.0,612.0,13.9,7.0,27.0,38.5,50.0,2.8,38.3,45.8,6.4,0.0,
Steve Slaton,23.0,HOU,11.0,10.0,55.0,44.0,417.0,9.5,4.0,20.0,60.0,38.0,4.0,37.9,80.0,7.6,7.0,
Chester Taylor,30.0,MIN,16.0,0.0,59.0,44.0,389.0,8.8,1.0,18.0,39.0,33.0,2.8,24.3,74.6,6.6,2.0,
Danny Amendola,24.0,STL,14.0,2.0,63.0,43.0,326.0,7.6,1.0,19.0,47.6,25.0,3.1,23.3,68.3,5.2,4.0,
Laveranues Coles,32.0,CIN,16.0,13.0,77.0,43.0,514.0,12.0,5.0,29.0,49.4,40.0,2.7,32.1,55.8,6.7,0.0,
Adrian Peterson,24.0,MIN,16.0,15.0,57.0,43.0,436.0,10.1,0.0,16.0,47.4,63.0,2.7,27.3,75.4,7.6,7.0,"PB,AP-1"
Kevin Boss,25.0,NYG,15.0,15.0,69.0,42.0,567.0,13.5,5.0,26.0,43.5,35.0,2.8,37.8,60.9,8.2,0.0,
Kenny Britt,21.0,TEN,16.0,6.0,75.0,42.0,701.0,16.7,3.0,34.0,50.7,57.0,2.6,43.8,56.0,9.3,1.0,
Jason Avant,26.0,PHI,16.0,9.0,58.0,41.0,587.0,14.3,3.0,24.0,56.9,58.0,2.6,36.7,70.7,10.1,1.0,
Justin Forsett,24.0,SEA,16.0,2.0,57.0,41.0,350.0,8.5,1.0,13.0,38.6,47.0,2.6,21.9,71.9,6.1,4.0,
Kevin Smith,23.0,DET,13.0,13.0,57.0,41.0,415.0,10.1,1.0,16.0,54.4,63.0,3.2,31.9,71.9,7.3,3.0,
Jamaal Charles,23.0,KAN,15.0,10.0,55.0,40.0,297.0,7.4,1.0,11.0,36.4,49.0,2.7,19.8,72.7,5.4,4.0,
Owen Daniels,27.0,HOU,8.0,8.0,58.0,40.0,519.0,13.0,5.0,28.0,58.6,44.0,5.0,64.9,69.0,8.9,1.0,
LeSean McCoy,21.0,PHI,16.0,4.0,55.0,40.0,308.0,7.7,0.0,13.0,41.8,45.0,2.5,19.3,72.7,5.6,2.0,
Antonio Bryant,28.0,TAM,13.0,11.0,86.0,39.0,600.0,15.4,4.0,25.0,38.4,42.0,3.0,46.2,45.3,7.0,0.0,
Pierre Thomas,25.0,NOR,14.0,6.0,45.0,39.0,302.0,7.7,2.0,12.0,48.9,36.0,2.8,21.6,86.7,6.7,2.0,
Mike Wallace,23.0,PIT,16.0,4.0,72.0,39.0,756.0,19.4,6.0,28.0,48.6,60.0,2.4,47.3,54.2,10.5,1.0,AP ORoY-3
David Anderson,26.0,HOU,16.0,8.0,53.0,38.0,370.0,9.7,0.0,22.0,52.8,27.0,2.4,23.1,71.7,7.0,0.0,
Ted Ginn Jr.,24.0,MIA,16.0,12.0,78.0,38.0,454.0,11.9,1.0,25.0,43.6,53.0,2.4,28.4,48.7,5.8,2.0,
Roy Williams,28.0,DAL,15.0,13.0,86.0,38.0,596.0,15.7,7.0,29.0,43.0,66.0,2.5,39.7,44.2,6.9,1.0,
Patrick Crayton,30.0,DAL,16.0,6.0,67.0,37.0,622.0,16.8,5.0,27.0,49.3,80.0,2.3,38.9,55.2,9.3,4.0,
Julian Edelman,23.0,NWE,11.0,7.0,54.0,37.0,359.0,9.7,1.0,19.0,53.7,29.0,3.4,32.6,68.5,6.6,1.0,
Kevin Faulk,33.0,NWE,15.0,7.0,53.0,37.0,301.0,8.1,1.0,13.0,45.3,38.0,2.5,20.1,69.8,5.7,1.0,
Donald Lee,29.0,GNB,16.0,10.0,54.0,37.0,260.0,7.0,1.0,11.0,37.0,19.0,2.3,16.3,68.5,4.8,0.0,
