Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Jerry Robinson,26,PHI,LILB,9,9,3,19,0,12,,0,0,0,0,1.0,,0,
Charles Romes,28,BUF,RCB,9,9,1,8,0,8,,0,0,0,0,0.0,,0,
Dan Ross,25,CIN,TE,9,9,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-2"
Abdul Salaam,29,NYJ,LDT,9,9,0,0,0,0,,0,0,0,0,2.5,,0,
Rick Sanford,25,NWE,FS,9,9,2,105,1,99,,0,1,0,0,0.0,,0,
Terry Schmidt,30,CHI,LCB,9,9,4,39,0,29,,0,0,0,0,0.0,,0,
Bruce Scholtz,24,SEA,LLB,9,9,1,31,1,31,,0,1,0,0,1.0,,0,
Ken Schroy,30,NYJ,SS,9,9,1,34,0,34,,0,2,4,0,0.0,,0,
Clarence Scott,33,CLE,FS,9,9,3,29,0,24,,0,2,0,0,0.0,,0,
Lee Roy Selmon,28,TAM,RDE,9,9,0,0,0,0,,0,1,0,0,4.0,,0,"PB,AP-2"
Luis Sharpe,22,STL,LT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Donnie Shell,30,PIT,SS,9,9,5,27,0,18,,0,1,0,0,1.0,,0,"PB,AP-1"
Bill Simpson,31,BUF,FS,9,9,4,45,0,24,,0,0,0,0,1.0,,0,
Kenneth Sims,23,NWE,LDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,AP DRoY-4
Mike Singletary,24,CHI,MLB,9,9,0,0,0,0,,0,1,0,0,1.0,,0,
Gerald Small,26,MIA,RCB,9,9,2,41,0,21,,0,0,0,0,0.0,,0,
Fred Smerlas,25,BUF,NT,9,9,0,0,0,0,,0,2,0,0,2.0,,0,"PB,AP-1"
Don Smith,25,ATL,NT,9,9,0,0,0,0,,0,3,0,0,3.5,,0,
Doug Smith,26,RAM,C,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Ron Smith,26,PHI,WR,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
