Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Gordon Banks,22,NOR,7,0,1,7,7.0,0,7,0.1,1.0,0,
Mark Bell,23,SEA,16,0,1,13,13.0,0,13,0.1,0.8,0,
Rick Berns,24,TAM,16,2,1,6,6.0,0,6,0.1,0.4,2,
Larry Brinson,26,SEA,7,0,1,9,9.0,0,9,0.1,1.3,1,
Larry Brunson,31,DEN,13,0,1,15,15.0,0,15,0.1,1.2,0,
Ken Callicutt,25,DET,13,0,1,19,19.0,0,19,0.1,1.5,5,
Monte Coleman,23,WAS,16,10,1,12,12.0,0,12,0.1,0.8,0,
Zachary Dixon,24,PHI,5,0,1,5,5.0,0,5,0.2,1.0,0,
Phil DuBois,24,WAS,2,1,1,16,16.0,0,16,0.5,8.0,0,
Ron Essink,22,SEA,16,3,1,2,2.0,1,2,0.1,0.1,0,
John Floyd,24,SDG,15,0,1,31,31.0,1,31,0.1,2.1,0,
Ben Garry,24,BAL,3,0,1,9,9.0,0,9,0.3,3.0,1,
Lewis Gilbert,24,PHI,3,0,1,7,7.0,0,7,0.3,2.3,0,
Efren Herrera,29,SEA,16,0,1,9,9.0,0,9,0.1,0.6,0,
Eddie Hicks,25,NYG,3,1,1,4,4.0,0,4,0.3,1.3,2,
Kenny Lewis,23,NYJ,7,0,1,6,6.0,0,6,0.1,0.9,0,
George Martin,27,NYG,16,16,1,4,4.0,1,4,0.1,0.3,0,
Rich Martini,25,OAK,16,1,1,36,36.0,0,36,0.1,2.3,0,
Rich Mauti,26,NOR,9,0,1,10,10.0,0,10,0.1,1.1,0,
Russ Mikeska,25,ATL,16,2,1,4,4.0,0,4,0.1,0.3,0,
Anthony Munoz,22,CIN,16,16,1,-6,-6.0,0,-6,0.1,-0.4,0,
Tinker Owens,26,NOR,7,0,1,26,26.0,0,26,0.1,3.7,0,
Danny White,28,DAL,16,16,1,-9,-9.0,0,-9,0.1,-0.6,8,
Ron Yary,34,MIN,14,14,1,5,5.0,0,5,0.1,0.4,0,
Sam Adkins,25,SEA,4,0,0,0,,0,,0.0,0.0,0,
Anthony Anderson,24,ATL,16,0,0,0,,0,,0.0,0.0,0,
Ken Anderson,31,CIN,13,12,0,0,,0,,0.0,0.0,1,
Steve Bartkowski,28,ATL,16,16,0,0,,0,,0.0,0.0,6,"PB,AP MVP-3"
Bobby Batton,23,NYJ,8,0,0,0,,0,,0.0,0.0,0,
Hank Bauer,26,SDG,16,0,0,0,,0,,0.0,0.0,0,
David Beverly,30,GNB,16,0,0,0,,0,,0.0,0.0,1,
Terry Bradshaw,32,PIT,15,15,0,0,,0,,0.0,0.0,13,
Scott Brunner,23,NYG,16,3,0,0,,0,,0.0,0.0,3,
Glenn Carano,25,DAL,3,0,0,0,,0,,0.0,0.0,0,
Greg Cater,23,BUF,16,0,0,0,,0,,0.0,0.0,0,
Matt Cavanaugh,24,NWE,16,4,0,0,,0,,0.0,0.0,1,
Allan Clark,23,NWE,11,0,0,0,,0,,0.0,0.0,0,
Boobie Clark,30,HOU,6,0,0,0,,0,,0.0,0.0,0,
Tom Clements,27,KAN,1,0,0,0,,0,,0.0,0.0,2,
Craig Colquitt,26,PIT,16,0,0,0,,0,,0.0,0.0,1,
Nolan Cromwell,25,RAM,16,16,0,0,,0,,0.0,0.0,2,"PB,AP-1,AP DPoY-4"
Jim Culbreath,28,PHI,2,0,0,0,,0,,0.0,0.0,0,
Gary Danielson,29,DET,16,16,0,0,,0,,0.0,0.0,11,
Russell Davis,24,PIT,14,2,0,0,,0,,0.0,0.0,0,
Steve DeBerg,26,SFO,11,9,0,0,,0,,0.0,0.0,4,
Lynn Dickey,31,GNB,16,16,0,0,,0,,0.0,0.0,13,
Steve Dils,25,MIN,16,1,0,0,,0,,0.0,0.0,0,
Johnny Evans,24,CLE,16,0,0,0,,0,,0.0,0.0,0,
Vince Evans,25,CHI,13,10,0,0,,0,,0.0,0.0,4,
Joe Ferguson,30,BUF,16,16,0,0,,0,,0.0,0.0,9,
Vince Ferragamo,26,RAM,16,15,0,0,,0,,0.0,0.0,4,
Dan Fouts,29,SDG,16,16,0,0,,0,,0.0,0.0,11,"PB,AP-2,AP MVP-5,AP OPoY-3"
Mike Fuller,27,SDG,16,5,0,0,,0,,0.0,0.0,3,
Steve Fuller,23,KAN,14,13,0,0,,0,,0.0,0.0,16,
Chuck Fusina,23,TAM,2,0,0,0,,0,,0.0,0.0,0,
Bob Griese,35,MIA,5,3,0,0,,0,,0.0,0.0,1,
Steve Grogan,27,NWE,12,12,0,0,,0,,0.0,0.0,4,
Bob Grupp,25,KAN,16,0,0,0,,0,,0.0,0.0,2,
Ray Guy,31,OAK,16,0,0,0,,0,,0.0,0.0,0,"PB,AP-2"
Pat Haden,27,RAM,4,1,0,0,,0,,0.0,0.0,1,
Dino Hall,25,CLE,16,0,0,0,,0,,0.0,0.0,0,
LaRue Harrington,23,SDG,4,0,0,0,,0,,0.0,0.0,0,
Jim Hart,36,STL,15,15,0,0,,0,,0.0,0.0,4,
Mike Hubach,22,NWE,16,0,0,0,,0,,0.0,0.0,0,
David Humm,28,BUF,16,0,0,0,,0,,0.0,0.0,1,
John James,31,ATL,16,0,0,0,,0,,0.0,0.0,0,
Ron Jaworski,29,PHI,16,16,0,0,,0,,0.0,0.0,6,"PB,AP MVP-3"
Bert Jones,29,BAL,15,15,0,0,,0,,0.0,0.0,1,
Bill Kenney,25,KAN,3,3,0,0,,0,,0.0,0.0,1,
Jeff Knapple,24,DEN,2,0,0,0,,0,,0.0,0.0,0,
Tommy Kramer,25,MIN,15,15,0,0,,0,,0.0,0.0,2,
Mike Kruczek,27,WAS,7,1,0,0,,0,,0.0,0.0,3,
Greg Landry,34,BAL,16,1,0,0,,0,,0.0,0.0,0,
Bob Lee,34,RAM,1,0,0,0,,0,,0.0,0.0,0,
Frank LeMaster,28,PHI,16,16,0,0,,0,,0.0,0.0,0,
Randy Love,24,STL,16,0,0,0,,0,,0.0,0.0,3,
Mike Loyd,24,STL,5,1,0,0,,0,,0.0,0.0,1,
Ed Luther,23,SDG,5,0,0,0,,0,,0.0,0.0,0,
Archie Manning,31,NOR,16,16,0,0,,0,,0.0,0.0,6,
Dan Manucci,23,BUF,2,0,0,0,,0,,0.0,0.0,0,
Willie McClendon,23,CHI,16,0,0,0,,0,,0.0,0.0,0,
Paul McDonald,22,CLE,15,0,0,0,,0,,0.0,0.0,2,
Jim Miller,23,SFO,16,0,0,0,,0,,0.0,0.0,0,
Joe Montana,24,SFO,15,7,0,0,,0,,0.0,0.0,4,
Cleo Montgomery,24,CIN,14,0,0,0,,0,,0.0,0.0,3,
Emery Moorehead,26,DEN,16,0,0,0,,0,,0.0,0.0,0,
Craig Morton,37,DEN,12,9,0,0,,0,,0.0,0.0,4,
Gifford Nielsen,26,HOU,16,0,0,0,,0,,0.0,0.0,1,
Bob Parsons,30,CHI,16,0,0,0,,0,,0.0,0.0,2,
Rick Partridge,23,SDG,16,0,0,0,,0,,0.0,0.0,0,
Dan Pastorini,31,OAK,5,5,0,0,,0,,0.0,0.0,3,
Ricky Patton,26,SFO,9,0,0,0,,0,,0.0,0.0,1,
Eddie Payton,29,MIN,16,0,0,0,,0,,0.0,0.0,3,
Rod Phillips,28,STL,16,0,0,0,,0,,0.0,0.0,0,
Mike Phipps,33,CHI,7,6,0,0,,0,,0.0,0.0,6,
Joe Pisarcik,28,PHI,9,0,0,0,,0,,0.0,0.0,1,
Jim Plunkett,33,OAK,13,11,0,0,,0,,0.0,0.0,9,
Frank Pollard,23,PIT,16,0,0,0,,0,,0.0,0.0,1,
Chuck Ramsey,28,NYJ,16,0,0,0,,0,,0.0,0.0,0,
Bo Robinson,24,DET,14,0,0,0,,0,,0.0,0.0,0,
Matt Robinson,25,DEN,14,7,0,0,,0,,0.0,0.0,6,
Booker Russell,24,SDG,15,0,0,0,,0,,0.0,0.0,1,
John Sciarra,26,PHI,16,0,0,0,,0,,0.0,0.0,1,
Phil Simms,25,NYG,13,13,0,0,,0,,0.0,0.0,6,
Brian Sipe,31,CLE,16,16,0,0,,0,,0.0,0.0,3,"PB,AP-1,AP MVP-1,AP OPoY-2"
Barty Smith,28,GNB,1,0,0,0,,0,,0.0,0.0,0,
Ken Stabler,35,HOU,16,16,0,0,,0,,0.0,0.0,7,
Cliff Stoudt,25,PIT,6,1,0,0,,0,,0.0,0.0,1,
Don Strock,30,MIA,16,2,0,0,,0,,0.0,0.0,1,
Ray Strong,24,ATL,16,0,0,0,,0,,0.0,0.0,4,
Don Testerman,28,MIA,5,0,0,0,,0,,0.0,0.0,0,
Joe Theismann,31,WAS,16,15,0,0,,0,,0.0,0.0,6,
Jack Thompson,24,CIN,14,4,0,0,,0,,0.0,0.0,5,
Richard Todd,27,NYJ,16,16,0,0,,0,,0.0,0.0,10,
Jim Walsh,24,SEA,4,0,0,0,,0,,0.0,0.0,0,
Doug Williams,25,TAM,16,16,0,0,,0,,0.0,0.0,7,
Marc Wilson,23,OAK,2,0,0,0,,0,,0.0,0.0,0,
David Woodley,22,MIA,13,11,0,0,,0,,0.0,0.0,3,AP ORoY-3
Jim Zorn,27,SEA,16,16,0,0,,0,,0.0,0.0,12,
League Average,,,,,,,,,,1.3,16.3,,
