Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Byron Franklin,23,BUF,13,0,1,-11,0,-11,-11.0,-0.8,0.1,2,
Alvin Garrett,25,NYG,9,0,1,2,0,2,2.0,0.2,0.1,1,
Mel Gray,33,STL,12,12,1,4,0,4,4.0,0.3,0.1,0,
Bob Grupp,26,KAN,9,0,1,-19,0,-19,-19.0,-2.1,0.1,0,
Clarence Harmon,26,WAS,5,0,1,4,0,4,4.0,0.8,0.2,0,
Sam Harrell,24,MIN,4,0,1,7,0,7,7.0,1.8,0.3,0,
Wally Henry,27,PHI,16,0,1,-2,0,-2,-2.0,-0.1,0.1,4,
Drew Hill,25,RAM,16,2,1,14,0,14,14.0,0.9,0.1,1,
Tony Hill,25,DAL,16,9,1,-3,0,-3,-3.0,-0.2,0.1,1,
John James,32,ATL,16,0,1,-7,0,-7,-7.0,-0.4,0.1,0,
June Jones,28,ATL,4,0,1,-1,0,-1,-1.0,-0.3,0.3,0,
Steve Kreider,23,CIN,16,1,1,21,0,21,21.0,1.3,0.1,2,
Rod Kush,25,BUF,16,0,1,-6,0,-6,-6.0,-0.4,0.1,1,
Greg Landry,35,BAL,11,0,1,11,0,11,11.0,1.0,0.1,2,
Frank LeMaster,29,PHI,16,16,1,7,0,7,7.0,0.4,0.1,0,PB
Leo Lewis,25,MIN,4,1,1,16,0,16,16.0,4.0,0.3,0,
Ken Margerum,23,CHI,16,7,1,11,0,11,11.0,0.7,0.1,0,
Pat McInally,28,CIN,16,1,1,-27,0,-27,-27.0,-1.7,0.1,0,"PB,AP-1"
Art Monk,24,WAS,16,16,1,-5,0,-5,-5.0,-0.3,0.1,0,
Jeff Moore,25,SEA,2,0,1,15,0,15,15.0,7.5,0.5,0,
Nat Moore,30,MIA,13,11,1,3,0,3,3.0,0.2,0.1,0,
Rick Moser,25,PIT,6,0,1,4,0,4,4.0,0.7,0.2,0,
Dan Neal,32,CHI,16,16,1,-6,0,-6,-6.0,-0.4,0.1,2,
Tom Orosz,22,MIA,16,0,1,13,0,13,13.0,0.8,0.1,0,
Bob Parsons,31,CHI,16,0,1,-6,0,-6,-6.0,-0.4,0.1,0,
Carlos Pennywell,25,NWE,5,2,1,3,0,3,3.0,0.6,0.2,0,
Mike Phipps,34,CHI,3,0,1,0,0,,0.0,0.0,0.3,0,
George Roberts,26,SDG,16,0,1,2,0,2,2.0,0.1,0.1,0,
Matt Robinson,26,BUF,15,0,1,-2,0,-2,-2.0,-0.1,0.1,1,
John Sciarra,27,PHI,10,1,1,0,0,,0.0,0.0,0.1,3,
Joe Senser,25,MIN,16,16,1,2,0,2,2.0,0.1,0.1,3,PB
Jeff Siemon,31,MIN,16,16,1,0,0,,0.0,0.0,0.1,1,
