Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Godwin Igwebuike,27,DET,17,1,18,118,1,7,61.1,42,6.6,6.9,1.1,2,
Davis Mills,23,HOU,13,11,18,44,0,5,38.9,11,2.4,3.4,1.4,5,
Rondale Moore,21,ARI,14,7,18,76,0,2,50.0,26,4.2,5.4,1.3,3,
Chris Evans,24,CIN,14,1,17,77,0,3,41.2,13,4.5,5.5,1.2,0,
Jared Goff,27,DET,14,14,17,87,0,4,29.4,26,5.1,6.2,1.2,9,
Jonathan Williams,27,WAS,5,0,17,79,1,7,64.7,23,4.6,15.8,3.4,0,
Andy Dalton,34,CHI,8,6,16,76,0,2,50.0,14,4.8,9.5,2.0,1,
Jamycal Hasty,25,SFO,11,0,16,68,1,6,43.8,21,4.3,6.2,1.5,2,
Ryquell Armstead,25,JAX,2,0,15,80,0,3,60.0,26,5.3,40.0,7.5,0,
Jermar Jefferson,21,DET,7,0,15,74,2,4,53.3,28,4.9,10.6,2.1,0,
Ty Montgomery,28,NOR,14,3,15,44,0,2,33.3,9,2.9,3.1,1.1,0,
Trayveon Williams,24,CIN,5,0,15,51,0,4,53.3,10,3.4,10.2,3.0,0,
Chase Claypool,23,PIT,15,13,14,96,0,7,71.4,25,6.9,6.4,0.9,0,
Jason Huntley,23,PHI,1,0,13,51,0,2,30.8,18,3.9,51.0,13.0,0,
Deon Jackson,22,IND,9,0,13,31,1,2,30.8,10,2.4,3.4,1.4,0,
Marcus Mariota,28,LVR,10,0,13,87,1,6,76.9,31,6.7,8.7,1.3,1,
Kene Nwangwu,23,MIN,11,0,13,61,0,3,30.8,19,4.7,5.5,1.2,0,
Mitchell Trubisky,27,BUF,6,0,13,24,1,3,23.1,22,1.8,4.0,2.2,0,
Kalen Ballage,26,PIT,17,0,12,36,0,2,41.7,13,3.0,2.1,0.7,0,
Kendrick Bourne,26,NWE,17,5,12,125,0,7,83.3,18,10.4,7.4,0.7,1,
Case Keenum,33,CLE,7,2,12,22,0,6,50.0,10,1.8,3.1,1.7,1,
Jordan Love,23,GNB,6,1,12,27,0,1,25.0,10,2.3,4.5,2.0,3,
Jerick McKinnon,29,KAN,13,0,12,62,0,2,58.3,18,5.2,4.8,0.9,0,
Brian Hoyer,36,NWE,5,0,11,-8,0,1,9.1,2,-0.7,-1.6,2.2,0,
Laviska Shenault Jr.,23,JAX,16,10,11,41,0,2,45.5,11,3.7,2.6,0.7,1,
DeAndre Carter,28,WAS,17,6,10,89,0,4,80.0,27,8.9,5.2,0.6,3,
Kylin Hill,23,GNB,8,0,10,24,0,1,20.0,8,2.4,3.0,1.3,0,
Drew Lock,25,DEN,6,3,10,53,2,5,50.0,23,5.3,8.8,1.7,2,
Jalen Reagor,22,PHI,17,13,10,32,0,3,40.0,12,3.2,1.9,0.6,2,
James White,29,NWE,3,0,10,38,1,4,60.0,10,3.8,12.7,3.3,0,
Blaine Gabbert,32,TAM,6,0,9,-7,0,0,0.0,,-0.8,-1.2,1.5,0,
Tyreek Hill,27,KAN,17,16,9,96,0,4,66.7,33,10.7,5.6,0.5,2,PB
CeeDee Lamb,22,DAL,16,13,9,76,0,4,66.7,33,8.4,4.8,0.6,0,PB
Isaiah McKenzie,26,BUF,15,2,9,47,1,4,55.6,10,5.2,3.1,0.6,2,
Gardner Minshew II,25,PHI,4,2,9,21,0,2,55.6,9,2.3,5.3,2.3,1,
Jalen Richard,28,LVR,10,0,9,40,0,3,44.4,23,4.4,4.0,0.9,0,
Cooper Rush,28,DAL,5,1,9,-8,0,0,0.0,2,-0.9,-1.6,1.8,1,
Trevor Siemian,30,NOR,6,4,9,20,1,2,22.2,17,2.2,3.3,1.5,3,
Geno Smith,31,SEA,4,3,9,42,1,3,77.8,12,4.7,10.5,2.3,1,
Jonnu Smith,26,NWE,16,11,9,40,0,2,44.4,9,4.4,2.5,0.6,1,
Keith Smith,29,ATL,17,8,9,31,0,3,55.6,8,3.4,1.8,0.5,0,
Jonathan Ward,24,ARI,13,0,9,33,0,3,44.4,7,3.7,2.5,0.7,0,
Josh Johnson,35,2TM,4,1,9,28,0,1,33.3,11,3.1,7.0,2.3,2,
Josh Johnson,35,NYJ,3,0,4,18,0,1,50.0,11,4.5,6.0,1.3,0,
Josh Johnson,35,BAL,1,1,5,10,0,0,20.0,7,2.0,10.0,5.0,2,
Giovani Bernard,30,TAM,12,0,8,58,0,3,62.5,24,7.3,4.8,0.7,1,
Michael Burton,29,KAN,16,0,8,26,1,8,100.0,7,3.3,1.6,0.5,0,
Jake Fromm,23,NYG,3,2,8,65,0,4,62.5,27,8.1,21.7,2.7,2,
Mecole Hardman,23,KAN,17,8,8,46,0,2,25.0,24,5.8,2.7,0.5,3,
Chad Henne,36,KAN,4,0,8,0,0,0,12.5,,0.0,0.0,2.0,2,
Kyle Juszczyk,30,SFO,17,16,8,22,1,3,50.0,6,2.8,1.3,0.5,0,PB
D.J. Moore,24,CAR,17,17,8,48,0,4,75.0,14,6.0,2.8,0.5,1,
La'Mical Perine,23,NYJ,4,0,8,31,0,1,25.0,14,3.9,7.8,2.0,0,
Robert Woods,29,LAR,9,9,8,46,1,1,50.0,16,5.8,5.1,0.9,0,
Jamal Agnew,26,JAX,10,2,7,111,1,3,85.7,66,15.9,11.1,0.7,1,
Brandon Allen,29,CIN,6,1,7,-1,0,1,14.3,3,-0.1,-0.2,1.2,1,
Braxton Berrios,26,NYJ,16,1,7,40,2,3,85.7,11,5.7,2.5,0.4,1,AP-1
