Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Knile Davis,2TM,25,RB,11,0,,,0,,,10.0,207.0,0,30.0,20.7,260
Andre Ellington,ARI,27,RB,16,0,,,0,,,10.0,163.0,0,25.0,16.3,344
Ryan Smith,TAM,23,DB,14,0,,,0,,,10.0,169.0,0,24.0,16.9,169
Akeem Hunt,HOU,23,RB,8,0,,,0,,,9.0,194.0,0,39.0,21.6,332
Ricardo Louis,CLE,22,WR,16,3,,,0,,,9.0,164.0,0,24.0,18.2,370
Wendell Smallwood,PHI,22,RB,13,3,,,0,,,9.0,261.0,1,86.0,29.0,628
Mike Thomas,LAR,22,WR,15,0,,,0,,,9.0,180.0,0,41.0,20.0,217
George Atkinson,CLE,24,RB,16,0,,,0,,,8.0,137.0,0,21.0,17.1,171
Taiwan Jones,OAK,28,RB,13,0,,,0,,,8.0,112.0,0,21.0,14.0,147
Cody Latimer,DEN,24,WR,12,1,,,0,,,8.0,200.0,0,46.0,25.0,276
Tracy Howard,CLE,22,DB,15,3,,,0,,,7.0,111.0,0,21.0,15.9,111
Chris Moore,BAL,23,WR,15,0,,,0,,,7.0,162.0,0,34.0,23.1,227
C.J. Spiller,2TM,29,RB,6,0,,,0,,,7.0,142.0,0,24.0,20.3,210
Rex Burkhead,CIN,26,RB,16,1,,,0,,,6.0,114.0,0,26.0,19.0,603
Sammie Coates,PIT,23,WR,14,5,,,0,,,6.0,150.0,0,44.0,25.0,599
Chris Davis,SFO,26,DB,4,0,,,0,,,6.0,129.0,0,26.0,21.5,129
Jeff Janis,GNB,25,WR,16,1,,,0,,,6.0,119.0,0,28.0,19.8,250
Joe Webb,CAR,30,WR,14,0,,,0,,,6.0,131.0,0,37.0,21.8,134
Nelson Agholor,PHI,23,WR,15,14,,,0,,,5.0,92.0,0,27.0,18.4,471
Cobi Hamilton,PIT,26,WR,11,8,,,0,,,5.0,83.0,0,20.0,16.6,317
Paul Richardson,SEA,24,WR,15,0,,,0,,,5.0,105.0,0,32.0,21.0,398
Antonio Andrews,TEN,24,RB,16,0,,,0,,,4.0,37.0,0,17.0,9.3,52
Kapri Bibbs,DEN,23,RB,12,0,,,0,,,4.0,79.0,0,26.0,19.8,283
Griff Whalen,SDG,26,WR,8,0,,,0,,,4.0,56.0,0,25.0,14.0,78
James Develin,NWE,28,RB,16,4,,,0,,,3.0,35.0,0,15.0,11.7,53
Justin Gilbert,PIT,25,DB,12,0,,,0,,,3.0,69.0,0,32.0,23.0,69
Justin Hardy,ATL,25,WR,16,3,,,0,,,3.0,52.0,0,32.0,17.3,255
Maurice Harris,WAS,24,WR,10,0,,,0,,,3.0,47.0,0,26.0,15.7,113
Tim Hightower,NOR,30,RB,16,1,,,0,,,3.0,61.0,0,31.0,20.3,809
Craig Mager,SDG,24,LCB,11,8,,,0,,,3.0,63.0,0,23.0,21.0,71
