Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Rich Mauti,28,NOR,9,0,0,0,0,,,0.0,0.0,0,
Reese McCall,26,BAL,7,0,0,0,0,,,0.0,0.0,0,
Sam McCullum,30,MIN,6,2,0,0,0,,,0.0,0.0,1,
Pete Metzelaars,22,SEA,9,2,0,0,0,,,0.0,0.0,2,
Russ Mikeska,27,ATL,5,0,0,0,0,,,0.0,0.0,0,
Junior Miller,25,ATL,9,9,0,0,0,,,0.0,0.0,1,
John Mistler,24,NYG,9,1,0,0,0,,,0.0,0.0,0,
Nat Moore,31,MIA,9,0,0,0,0,,,0.0,0.0,0,
Mike Mosley,24,BUF,9,0,0,0,0,,,0.0,0.0,3,
Calvin Muhammad,24,RAI,8,0,0,0,0,,,0.0,0.0,0,
Tom Mullady,25,NYG,9,9,0,0,0,,,0.0,0.0,1,
Ozzie Newsome,26,CLE,9,9,0,0,0,,,0.0,0.0,0,
Tom Newton,28,NYJ,9,0,0,0,0,,,0.0,0.0,0,
Ulysses Norris,25,DET,9,6,0,0,0,,,0.0,0.0,1,
Jim Obradovich,29,TAM,9,3,0,0,0,,,0.0,0.0,0,
McDonald Oden,24,CLE,9,0,0,0,0,,,0.0,0.0,0,
Riley Odoms,32,DEN,8,6,0,0,0,,,0.0,0.0,0,
Drew Pearson,31,DAL,9,8,0,0,0,,,0.0,0.0,0,
Johnny Perkins,29,NYG,8,7,0,0,0,,,0.0,0.0,2,
Lou Piccone,33,BUF,8,2,0,0,0,,,0.0,0.0,0,
Ray Pinney,28,PIT,9,9,0,0,0,,,0.0,0.0,0,
Danny Pittman,24,NYG,8,0,0,0,0,,,0.0,0.0,0,
Tracy Porter,23,DET,8,0,0,0,0,,,0.0,0.0,0,
Mike Quick,23,PHI,9,0,0,0,0,,,0.0,0.0,0,
Eason Ramson,26,SFO,9,0,0,0,0,,,0.0,0.0,0,
Ahmad Rashad,33,MIN,7,6,0,0,0,,,0.0,0.0,0,
Mike Renfro,27,HOU,9,4,0,0,0,,,0.0,0.0,0,
Stan Rome,26,KAN,7,0,0,0,0,,,0.0,0.0,0,
Joe Rose,25,MIA,9,0,0,0,0,,,0.0,0.0,0,
Dan Ross,25,CIN,9,9,0,0,0,,,0.0,0.0,1,"PB,AP-2"
Jay Saldi,28,DAL,5,0,0,0,0,,,0.0,0.0,0,
Lawrence Sampleton,23,PHI,9,0,0,0,0,,,0.0,0.0,0,
John Sawyer,29,SEA,7,0,0,0,0,,,0.0,0.0,0,
Dwight Scales,29,SDG,9,2,0,0,0,,,0.0,0.0,0,
James Scott,30,CHI,5,0,0,0,0,,,0.0,0.0,0,
Willie Scott,23,KAN,9,4,0,0,0,,,0.0,0.0,0,
Virgil Seay,24,WAS,8,1,0,0,0,,,0.0,0.0,0,
Joe Senser,26,MIN,9,9,0,0,0,,,0.0,0.0,0,
Tim Sherwin,24,BAL,9,8,0,0,0,,,0.0,0.0,0,
Gary Shirk,32,NYG,9,1,0,0,0,,,0.0,0.0,0,
Mickey Shuler,26,NYJ,9,3,0,0,0,,,0.0,0.0,0,
Mike Shumann,27,STL,6,0,0,0,0,,,0.0,0.0,0,
Eric Sievers,25,SDG,9,2,0,0,0,,,0.0,0.0,0,
Holden Smith,24,BAL,3,0,0,0,0,,,0.0,0.0,0,
J.T. Smith,27,KAN,5,3,0,0,0,,,0.0,0.0,0,
Jim Smith,27,PIT,8,0,0,0,0,,,0.0,0.0,1,
Ron Smith,26,PHI,9,9,0,0,0,,,0.0,0.0,1,
John Spagnola,25,PHI,9,9,0,0,0,,,0.0,0.0,0,
Calvin Sweeney,27,PIT,7,1,0,0,0,,,0.0,0.0,0,
Rich Thomaselli,25,HOU,9,0,0,0,0,,,0.0,0.0,0,
John Thompson,25,GNB,9,0,0,0,0,,,0.0,0.0,0,
Ken Thompson,24,STL,1,0,0,0,0,,,0.0,0.0,0,
Mike Tice,23,SEA,9,9,0,0,0,,,0.0,0.0,0,
Pat Tilley,29,STL,9,8,0,0,0,,,0.0,0.0,0,
Perry Tuttle,23,BUF,7,1,0,0,0,,,0.0,0.0,0,
Byron Walker,22,SEA,9,1,0,0,0,,,0.0,0.0,0,
Dwight Walker,23,CLE,9,0,0,0,0,,,0.0,0.0,2,
Wesley Walker,27,NYJ,9,9,0,0,0,,,0.0,0.0,0,PB
Don Warren,26,WAS,9,9,0,0,0,,,0.0,0.0,0,
Sammy White,28,MIN,7,6,0,0,0,,,0.0,0.0,0,
Mike Williams,23,WAS,6,1,0,0,0,,,0.0,0.0,0,
Mike Wilson,24,SFO,6,1,0,0,0,,,0.0,0.0,0,
Kellen Winslow,25,SDG,9,9,0,0,0,,,0.0,0.0,1,"PB,AP-1,AP OPoY-6"
Charle Young,31,SFO,9,9,0,0,0,,,0.0,0.0,1,
League Average,,,,,,,,,3.8,9.3,2.4,,
