Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Aaron Kampman,26,GNB,LDE,16,16,0,0,0,0,2,2,0,0,0,0,6.5,82,60,22,9,0,
Brian Kelly,29,TAM,LCB,16,16,4,19,0,14,17,1,0,0,0,0,1.0,51,42,9,2,0,
Chris Kelsay,26,BUF,LDE,16,16,1,17,0,17,4,1,0,1,2,0,2.5,45,26,19,3,0,
Ma'ake Kemoeatu,26,BAL,LDT,16,16,0,0,0,0,0,0,0,1,0,0,1.0,40,30,10,3,0,
Kenoy Kennedy,28,DET,SS,16,16,2,64,1,64,6,1,1,0,0,0,0.0,99,75,24,3,0,
Eddie Kennison,32,KAN,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Patrick Kerney,29,ATL,LDE,16,16,0,0,0,0,2,2,0,3,2,0,6.5,54,39,15,6,0,
Jim Kleinsasser,28,MIN,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Sammy Knight,30,KAN,SS,16,16,2,12,0,12,13,2,0,2,80,1,2.0,91,71,20,3,0,
Olin Kreutz,28,CHI,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,"PB,AP-2"
Ty Law,31,NYJ,LCB,16,16,10,195,1,74,18,0,1,1,0,0,0.0,62,45,17,2,0,PB
Michael Lewis,25,PHI,SS,16,16,2,13,0,13,8,1,0,1,0,0,1.0,106,92,14,4,0,
Ryan Lilja,24,IND,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Sean Locklear,24,SEA,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
John Lynch,34,DEN,FS,16,16,2,2,0,1,8,4,0,0,0,0,4.0,62,45,17,2,0,PB
Sean Mahan,25,TAM,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Logan Mankins,23,NWE,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,AP ORoY-2
Eli Manning,24,NYG,QB,16,16,0,0,0,0,0,0,9,0,0,0,0.0,,,,,0,
Peyton Manning,29,IND,QB,16,16,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,0,"PB,AP-1,AP MVP-2,AP OPoY-2"
Vince Manuwai,25,JAX,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Lemar Marshall,29,WAS,MLB,16,16,4,55,1,27,9,2,0,0,0,0,2.0,101,81,20,5,0,
Derrick Mason,31,BAL,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Rashean Mathis,25,JAX,LCB,16,16,5,79,1,41,15,0,0,1,0,0,0.0,69,60,9,1,0,
Todd McClure,28,ATL,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Daylon McCutcheon,29,CLE,LCB,16,16,2,14,0,14,9,2,0,0,0,0,0.0,78,71,7,3,0,
Willie McGinest,34,NWE,LOLB,16,16,0,0,0,0,5,0,0,1,19,0,6.0,57,45,12,11,0,
Alvin McKinley,27,CLE,RDE,16,16,0,0,0,0,0,1,0,0,0,0,5.0,68,45,23,6,0,
Steve McKinney,30,HOU,C,16,16,0,0,0,0,,0,1,0,-1,0,0.0,,,,,0,
Bryant McKinnie,26,MIN,LT,16,16,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,
Randy McMichael,26,MIA,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Lawyer Milloy,32,BUF,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,107,75,32,4,0,
Mike Minter,31,CAR,FS,16,16,1,47,0,47,9,1,0,0,0,0,1.5,63,41,22,1,0,
Jeff Mitchell,31,CAR,C,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Kawika Mitchell,26,KAN,MLB,16,16,1,0,0,0,11,0,0,2,0,0,2.0,105,84,21,8,0,
Santana Moss,26,WAS,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,"PB,AP-2"
Terence Newman,27,DAL,LCB,16,16,3,16,0,12,17,1,3,4,0,0,1.0,60,57,3,4,0,
Jonathan Ogden,31,BAL,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,PB
