Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Mike Guman,23,RAM,RB,16,4,,1,1,100.0,7,1,100.0,0,0.0,7,7.0,27.00,7.0,0.4,135.4,0,0,0.00,7.00,27.00,0,0,
Walt Easley,24,SFO,RB,12,1,,1,1,100.0,5,0,0.0,0,0.0,5,5.0,5.00,5.0,0.4,87.5,0,0,0.00,5.00,5.00,0,0,
Chuck Muncie,28,SDG,RB,15,14,,1,1,100.0,3,1,100.0,0,0.0,3,3.0,23.00,3.0,0.2,118.7,0,0,0.00,3.00,23.00,0,0,"PB,AP MVP-6,AP OPoY-6"
Chuck Fusina,24,TAM,QB,4,0,,1,1,100.0,2,1,100.0,0,0.0,2,2.0,22.00,2.0,0.5,118.7,0,0,0.00,2.00,22.00,0,0,
Ted Brown,24,MIN,FB,16,16,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Wes Chandler,25,SDG,WR,12,11,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Dwight Clark,24,SFO,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB
Tony Collins,22,NWE,RB,16,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Frank Corral,26,RAM,K,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Jerry Eckwood,27,TAM,RB,16,12,,0,0,,0,0,,0,,,,,,0.0,,1,1,100.00,-1.00,-1.00,0,0,
Ray Guy,32,OAK,P,16,0,,0,0,,0,0,,0,,,,,,0.0,,1,12,100.00,-12.00,-12.00,0,0,
James Hadnot,24,KAN,FB,16,15,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Kevin House,24,TAM,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
