Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Rich Caster,32,HOU,16,0,0,0,0,,,0.0,0.0,1,
Jimmy Cefalo,24,MIA,16,4,0,0,0,,,0.0,0.0,0,
Bob Chandler,31,OAK,16,16,0,0,0,,,0.0,0.0,1,
Raymond Chester,32,OAK,16,10,0,0,0,,,0.0,0.0,1,
Henry Childs,29,NOR,13,7,0,0,0,,,0.0,0.0,1,
Dwight Clark,23,SFO,16,12,0,0,0,,,0.0,0.0,2,
Mike Cobb,25,CHI,4,3,0,0,0,,,0.0,0.0,0,
Monte Coleman,23,WAS,16,10,0,0,0,,,0.0,0.0,0,
Chris Combs,22,STL,16,0,0,0,0,,,0.0,0.0,0,
Jim Corbett,25,CIN,4,0,0,0,0,,,0.0,0.0,0,
Doug Cosbie,24,DAL,16,0,0,0,0,,,0.0,0.0,0,
Bennie Cunningham,26,PIT,15,1,0,0,0,,,0.0,0.0,0,
Isaac Curtis,30,CIN,15,14,0,0,0,,,0.0,0.0,0,
Brian DeRoo,24,BAL,16,0,0,0,0,,,0.0,0.0,0,
Al Dixon,26,KAN,12,0,0,0,0,,,0.0,0.0,1,
Phil DuBois,24,WAS,2,1,0,0,0,,,0.0,0.0,0,
Robin Earl,25,CHI,16,13,0,0,0,,,0.0,0.0,0,
Ron Egloff,25,DEN,16,4,0,0,0,,,0.0,0.0,0,
Ron Essink,22,SEA,16,3,0,0,0,,,0.0,0.0,0,
Ricky Feacher,26,CLE,16,0,0,0,0,,,0.0,0.0,0,
Duke Fergerson,26,BUF,9,0,0,0,0,,,0.0,0.0,0,
Bob Fisher,22,CHI,16,2,0,0,0,,,0.0,0.0,0,
John Floyd,24,SDG,15,0,0,0,0,,,0.0,0.0,0,
Russ Francis,27,NWE,15,15,0,0,0,,,0.0,0.0,0,
Mike Friede,23,2TM,11,4,0,0,0,,,0.0,0.0,0,
Mike Friede,23,DET,4,0,0,0,0,,,0.0,0.0,0,
Mike Friede,23,NYG,7,4,0,0,0,,,0.0,0.0,0,
Derrick Gaffney,25,NYJ,13,5,0,0,0,,,0.0,0.0,0,
Reuben Gant,28,BUF,16,11,0,0,0,,,0.0,0.0,0,
Bubba Garcia,23,KAN,5,0,0,0,0,,,0.0,0.0,1,
Ben Garry,24,BAL,3,0,0,0,0,,,0.0,0.0,1,
Lewis Gilbert,24,PHI,3,0,0,0,0,,,0.0,0.0,0,
Jimmie Giles,26,TAM,16,15,0,0,0,,,0.0,0.0,2,PB
Earnest Gray,23,NYG,16,16,0,0,0,,,0.0,0.0,1,
Jessie Green,26,SEA,11,0,0,0,0,,,0.0,0.0,1,
Randy Grossman,28,PIT,15,15,0,0,0,,,0.0,0.0,0,
Jeff Groth,23,HOU,16,0,0,0,0,,,0.0,0.0,2,
Kris Haines,23,CHI,16,1,0,0,0,,,0.0,0.0,0,
Bruce Hardy,24,MIA,16,12,0,0,0,,,0.0,0.0,1,
Larry Hardy,24,NOR,16,3,0,0,0,,,0.0,0.0,0,
Duriel Harris,26,MIA,12,3,0,0,0,,,0.0,0.0,1,
Ike Harris,28,NOR,16,16,0,0,0,,,0.0,0.0,0,
Don Hasselbeck,25,NWE,16,2,0,0,0,,,0.0,0.0,0,
Wally Henry,26,PHI,7,0,0,0,0,,,0.0,0.0,1,
Efren Herrera,29,SEA,16,0,0,0,0,,,0.0,0.0,0,
David Hill,26,DET,16,16,0,0,0,,,0.0,0.0,1,
Alfred Jackson,25,ATL,16,0,0,0,0,,,0.0,0.0,0,
Alfred Jenkins,28,ATL,16,16,0,0,0,,,0.0,0.0,0,PB
Butch Johnson,26,DAL,16,1,0,0,0,,,0.0,0.0,0,
Charlie Joiner,33,SDG,16,16,0,0,0,,,0.0,0.0,3,"PB,AP-1"
Bobby Jones,25,NYJ,15,5,0,0,0,,,0.0,0.0,0,
Steve Kreider,22,CIN,16,0,0,0,0,,,0.0,0.0,1,
Bill Larson,27,2TM,11,0,0,0,0,,,0.0,0.0,0,
Bill Larson,27,DEN,2,0,0,0,0,,,0.0,0.0,0,
Bill Larson,27,GNB,9,0,0,0,0,,,0.0,0.0,0,
Terry LeCount,24,MIN,16,0,0,0,0,,,0.0,0.0,0,
Jeff Lee,25,STL,4,0,0,0,0,,,0.0,0.0,0,
Ronnie Lee,24,MIA,16,13,0,0,0,,,0.0,0.0,0,
Frank Lewis,33,BUF,15,13,0,0,0,,,0.0,0.0,0,
Kenny Lewis,23,NYJ,7,0,0,0,0,,,0.0,0.0,0,
James Lofton,24,GNB,16,16,0,0,0,,,0.0,0.0,0,"PB,AP-2"
Dave Logan,26,CLE,16,16,0,0,0,,,0.0,0.0,0,
Doug Marsh,22,STL,16,16,0,0,0,,,0.0,0.0,1,
George Martin,27,NYG,16,16,0,0,0,,,0.0,0.0,0,
Rich Martini,25,OAK,16,1,0,0,0,,,0.0,0.0,0,
Reese McCall,24,BAL,16,15,0,0,0,,,0.0,0.0,1,
Greg McCrary,28,SDG,16,10,0,0,0,,,0.0,0.0,0,
Sam McCullum,28,SEA,16,16,0,0,0,,,0.0,0.0,0,
John McDaniel,29,WAS,10,6,0,0,0,,,0.0,0.0,0,
Russ Mikeska,25,ATL,16,2,0,0,0,,,0.0,0.0,0,
Art Monk,23,WAS,16,11,0,0,0,,,0.0,0.0,0,
Jeff Moore,23,RAM,14,0,0,0,0,,,0.0,0.0,0,
Haven Moses,34,DEN,15,14,0,0,0,,,0.0,0.0,1,
Larry Mucker,26,TAM,7,0,0,0,0,,,0.0,0.0,0,
Tom Mullady,23,NYG,16,3,0,0,0,,,0.0,0.0,0,
Anthony Munoz,22,CIN,16,16,0,0,0,,,0.0,0.0,0,
Terry Nelson,29,RAM,4,2,0,0,0,,,0.0,0.0,0,
Fred Nixon,22,GNB,15,0,0,0,0,,,0.0,0.0,1,
Jim Obradovich,27,TAM,16,1,0,0,0,,,0.0,0.0,1,
McDonald Oden,22,CLE,16,0,0,0,0,,,0.0,0.0,0,
Riley Odoms,30,DEN,15,15,0,0,0,,,0.0,0.0,0,
James Owens,25,SFO,14,6,0,0,0,,,0.0,0.0,3,
Tinker Owens,26,NOR,7,0,0,0,0,,,0.0,0.0,0,
Rodney Parker,27,PHI,8,0,0,0,0,,,0.0,0.0,0,
Carlos Pennywell,24,NWE,11,0,0,0,0,,,0.0,0.0,0,
Johnny Perkins,27,NYG,6,5,0,0,0,,,0.0,0.0,1,
Lou Piccone,31,BUF,9,0,0,0,0,,,0.0,0.0,1,
Steve Raible,26,SEA,16,0,0,0,0,,,0.0,0.0,0,
Derrick Ramsey,24,OAK,16,0,0,0,0,,,0.0,0.0,0,
Stan Rome,24,KAN,10,0,0,0,0,,,0.0,0.0,0,
Joe Rose,23,MIA,16,0,0,0,0,,,0.0,0.0,0,
Dan Ross,23,CIN,16,16,0,0,0,,,0.0,0.0,1,
Reggie Rucker,33,CLE,16,16,0,0,0,,,0.0,0.0,0,
Jay Saldi,26,DAL,16,3,0,0,0,,,0.0,0.0,0,
Tony Samuels,26,KAN,4,4,0,0,0,,,0.0,0.0,0,
John Sawyer,27,SEA,16,16,0,0,0,,,0.0,0.0,1,
James Scott,28,CHI,15,12,0,0,0,,,0.0,0.0,0,
Gary Shirk,30,NYG,16,14,0,0,0,,,0.0,0.0,2,
Mickey Shuler,24,NYJ,16,9,0,0,0,,,0.0,0.0,1,
Mike Shumann,25,TAM,6,0,0,0,0,,,0.0,0.0,0,
Mike Siani,30,BAL,10,1,0,0,0,,,0.0,0.0,0,
J.T. Smith,25,KAN,16,16,0,0,0,,,0.0,0.0,1,"PB,AP-1"
Ron Smith,24,SDG,15,0,0,0,0,,,0.0,0.0,0,
Tim Smith,23,HOU,16,0,0,0,0,,,0.0,0.0,1,
John Spagnola,23,PHI,16,5,0,0,0,,,0.0,0.0,2,
John Stallworth,28,PIT,3,2,0,0,0,,,0.0,0.0,0,
Dave Stief,24,STL,16,2,0,0,0,,,0.0,0.0,0,
Calvin Sweeney,25,PIT,15,0,0,0,0,,,0.0,0.0,1,
Ricky Thompson,26,WAS,16,15,0,0,0,,,0.0,0.0,0,
Pat Tilley,27,STL,14,14,0,0,0,,,0.0,0.0,0,PB
Bob Tucker,35,MIN,16,13,0,0,0,,,0.0,0.0,1,
Wesley Walker,25,NYJ,10,7,0,0,0,,,0.0,0.0,0,
Don Warren,24,WAS,13,12,0,0,0,,,0.0,0.0,1,
Steve Watson,23,DEN,16,1,0,0,0,,,0.0,0.0,0,
Don Westbrook,27,NWE,14,0,0,0,0,,,0.0,0.0,0,
Brooks Williams,26,NOR,12,6,0,0,0,,,0.0,0.0,1,
Mike Williams,23,KAN,16,11,0,0,0,,,0.0,0.0,0,
Kellen Winslow,23,SDG,16,11,0,0,0,,,0.0,0.0,2,"PB,AP-1"
Keith Wright,24,CLE,12,0,0,0,0,,,0.0,0.0,2,
Ron Yary,34,MIN,14,14,0,0,0,,,0.0,0.0,0,
Charle Young,29,SFO,16,15,0,0,0,,,0.0,0.0,0,
League Average,,,,,,,,,4.0,9.7,2.4,,
