Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Wayne Capers,22,PIT,11,4,0,0,0,,,0.0,0.0,0,
Harold Carmichael,34,PHI,15,11,0,0,0,,,0.0,0.0,0,
Roger Carr,31,SDG,4,0,0,0,0,,,0.0,0.0,0,
Dave Casper,31,2TM,13,10,0,0,0,,,0.0,0.0,0,
Dave Casper,31,HOU,3,2,0,0,0,,,0.0,0.0,0,
Dave Casper,31,MIN,10,8,0,0,0,,,0.0,0.0,0,
Jeff Chadwick,23,DET,16,4,0,0,0,,,0.0,0.0,0,
Todd Christensen,27,RAI,16,16,0,0,0,,,0.0,0.0,1,"PB,AP-1"
Paul Coffman,27,GNB,16,16,0,0,0,,,0.0,0.0,1,PB
Tom Coombs,24,NYJ,12,1,0,0,0,,,0.0,0.0,0,
Earl Cooper,26,SFO,16,0,0,0,0,,,0.0,0.0,1,
Doug Cosbie,27,DAL,16,16,0,0,0,,,0.0,0.0,0,PB
Arthur Cox,22,ATL,16,9,0,0,0,,,0.0,0.0,1,
Bennie Cunningham,29,PIT,16,16,0,0,0,,,0.0,0.0,4,
William Curran,24,ATL,16,0,0,0,0,,,0.0,0.0,1,
Isaac Curtis,33,CIN,16,16,0,0,0,,,0.0,0.0,1,
Julius Dawkins,22,BUF,11,2,0,0,0,,,0.0,0.0,0,
Lin Dawson,24,NWE,13,10,0,0,0,,,0.0,0.0,0,
Preston Dennard,28,RAM,14,13,0,0,0,,,0.0,0.0,0,
Clint Didier,24,WAS,16,2,0,0,0,,,0.0,0.0,1,
Doug Dieken,34,CLE,16,16,0,0,0,,,0.0,0.0,0,
Al Dixon,29,PHI,10,1,0,0,0,,,0.0,0.0,0,
Doug Donley,24,DAL,11,1,0,0,0,,,0.0,0.0,0,
Bobby Duckworth,25,SDG,16,2,0,0,0,,,0.0,0.0,0,
Pat Dunsmore,24,CHI,16,1,0,0,0,,,0.0,0.0,0,
Mark Duper,24,MIA,16,11,0,0,0,,,0.0,0.0,0,PB
Billy Joe DuPree,33,DAL,16,6,0,0,0,,,0.0,0.0,0,
Ron Egloff,28,DEN,16,10,0,0,0,,,0.0,0.0,0,
Phil Epps,25,GNB,16,0,0,0,0,,,0.0,0.0,2,
Ricky Feacher,29,CLE,9,5,0,0,0,,,0.0,0.0,1,
Russ Francis,30,SFO,16,16,0,0,0,,,0.0,0.0,2,
Derrick Gaffney,28,NYJ,16,10,0,0,0,,,0.0,0.0,0,
Gregg Garrity,23,PIT,15,3,0,0,0,,,0.0,0.0,1,
Jimmie Giles,29,TAM,11,9,0,0,0,,,0.0,0.0,1,
Earnest Gray,26,NYG,16,16,0,0,0,,,0.0,0.0,0,
Anthony Hancock,23,KAN,16,7,0,0,0,,,0.0,0.0,2,
Larry Hardy,27,NOR,6,1,0,0,0,,,0.0,0.0,0,
Mike Harmon,22,NYJ,9,0,0,0,0,,,0.0,0.0,3,
M.L. Harris,29,CIN,12,1,0,0,0,,,0.0,0.0,0,
Don Hasselbeck,28,2TM,15,0,0,0,0,,,0.0,0.0,0,
Don Hasselbeck,28,NWE,1,0,0,0,0,,,0.0,0.0,0,
Don Hasselbeck,28,RAI,14,0,0,0,0,,,0.0,0.0,0,
Bernard Henry,23,BAL,15,7,0,0,0,,,0.0,0.0,0,
David Hill,29,RAM,16,3,0,0,0,,,0.0,0.0,1,
Floyd Hodge,24,ATL,12,6,0,0,0,,,0.0,0.0,0,
Rodney Holman,23,CIN,16,0,0,0,0,,,0.0,0.0,0,
Pete Holohan,24,SDG,16,3,0,0,0,,,0.0,0.0,0,
Mike Holston,25,HOU,16,0,0,0,0,,,0.0,0.0,0,
Melvin Hoover,24,PHI,11,0,0,0,0,,,0.0,0.0,3,
Alfred Jackson,28,ATL,4,4,0,0,0,,,0.0,0.0,0,
Harold Jackson,37,SEA,15,6,0,0,0,,,0.0,0.0,1,
John Jefferson,27,GNB,16,16,0,0,0,,,0.0,0.0,1,
Alfred Jenkins,31,ATL,10,10,0,0,0,,,0.0,0.0,0,
Dan Johnson,23,MIA,16,16,0,0,0,,,0.0,0.0,1,
Charlie Joiner,36,SDG,16,16,0,0,0,,,0.0,0.0,2,
Cedric Jones,23,NWE,15,12,0,0,0,,,0.0,0.0,1,
Gordon Jones,26,RAM,11,0,0,0,0,,,0.0,0.0,0,
Steve Jordan,22,MIN,13,2,0,0,0,,,0.0,0.0,0,
Vyto Kab,24,PHI,14,14,0,0,0,,,0.0,0.0,0,
Florian Kempf,27,HOU,16,0,0,0,0,,,0.0,0.0,0,
Syd Kitson,25,GNB,16,9,0,0,0,,,0.0,0.0,0,
Greg LaFleur,25,STL,16,5,0,0,0,,,0.0,0.0,3,
Steve Largent,29,SEA,15,14,0,0,0,,,0.0,0.0,3,
Frank Lewis,36,BUF,11,11,0,0,0,,,0.0,0.0,0,
Dave Logan,29,CLE,16,13,0,0,0,,,0.0,0.0,1,
Doug Marsh,25,STL,16,16,0,0,0,,,0.0,0.0,1,
Henry Marshall,29,KAN,13,9,0,0,0,,,0.0,0.0,0,
Allama Matthews,22,ATL,16,1,0,0,0,,,0.0,0.0,0,
Rich Mauti,29,NOR,16,1,0,0,0,,,0.0,0.0,0,
Reese McCall,27,DET,16,4,0,0,0,,,0.0,0.0,0,
Mike McCloskey,22,HOU,16,7,0,0,0,,,0.0,0.0,0,
Sam McCullum,31,MIN,11,6,0,0,0,,,0.0,0.0,0,
Mardye McDole,24,MIN,15,1,0,0,0,,,0.0,0.0,1,
James McDonald,22,RAM,16,0,0,0,0,,,0.0,0.0,0,
Eddie McGill,23,STL,2,0,0,0,0,,,0.0,0.0,0,
Mark McGrath,26,WAS,2,0,0,0,0,,,0.0,0.0,0,
Dennis McKinnon,22,CHI,16,4,0,0,0,,,0.0,0.0,2,
Pete Metzelaars,23,SEA,16,7,0,0,0,,,0.0,0.0,0,
John Mistler,25,NYG,16,8,0,0,0,,,0.0,0.0,1,
Nat Moore,32,MIA,16,15,0,0,0,,,0.0,0.0,1,
Mike Mosley,25,BUF,7,2,0,0,0,,,0.0,0.0,1,
Zeke Mowatt,22,NYG,16,14,0,0,0,,,0.0,0.0,0,
Calvin Muhammad,25,RAI,15,4,0,0,0,,,0.0,0.0,2,
Tom Mullady,26,NYG,16,4,0,0,0,,,0.0,0.0,0,
Renaldo Nehemiah,24,SFO,16,1,0,0,0,,,0.0,0.0,1,
Ozzie Newsome,27,CLE,16,16,0,0,0,,,0.0,0.0,0,AP-2
Ulysses Norris,26,DET,15,15,0,0,0,,,0.0,0.0,0,
Victor Oatis,24,BAL,9,0,0,0,0,,,0.0,0.0,0,
Jim Obradovich,30,TAM,16,5,0,0,0,,,0.0,0.0,1,
Riley Odoms,33,DEN,2,0,0,0,0,,,0.0,0.0,0,
Stephone Paige,22,KAN,16,0,0,0,0,,,0.0,0.0,1,
Danny Pittman,25,2TM,12,0,0,0,0,,,0.0,0.0,0,
Danny Pittman,25,NYG,8,0,0,0,0,,,0.0,0.0,0,
Danny Pittman,25,STL,4,0,0,0,0,,,0.0,0.0,0,
Tracy Porter,24,BAL,16,7,0,0,0,,,0.0,0.0,0,
Mike Quick,24,PHI,16,16,0,0,0,,,0.0,0.0,1,"PB,AP-1,AP OPoY-6"
Tom Rafferty,29,DAL,16,15,0,0,0,,,0.0,0.0,0,
Derrick Ramsey,27,NWE,14,7,0,0,0,,,0.0,0.0,0,
John Rodgers,23,PIT,15,1,0,0,0,,,0.0,0.0,0,
Joe Rose,26,MIA,16,0,0,0,0,,,0.0,0.0,0,
Dan Ross,26,CIN,16,15,0,0,0,,,0.0,0.0,0,
Rob Rubick,23,DET,16,1,0,0,0,,,0.0,0.0,0,
Jay Saldi,29,CHI,13,5,0,0,0,,,0.0,0.0,0,
Lawrence Sampleton,24,PHI,7,2,0,0,0,,,0.0,0.0,0,
Clint Sampson,22,DEN,16,2,0,0,0,,,0.0,0.0,0,
John Sawyer,30,DEN,7,4,0,0,0,,,0.0,0.0,1,
Dwight Scales,30,SDG,7,1,0,0,0,,,0.0,0.0,0,
Freddie Scott,31,DET,15,0,0,0,0,,,0.0,0.0,1,
Lindsay Scott,23,NOR,16,7,0,0,0,,,0.0,0.0,1,
Malcolm Scott,22,NYG,16,1,0,0,0,,,0.0,0.0,0,
Virgil Seay,25,WAS,14,3,0,0,0,,,0.0,0.0,0,
Tim Sherwin,25,BAL,15,14,0,0,0,,,0.0,0.0,0,
Mickey Shuler,27,NYJ,16,6,0,0,0,,,0.0,0.0,0,
Mike Shumann,28,STL,16,0,0,0,0,,,0.0,0.0,0,
Paul Skansi,22,PIT,15,0,0,0,0,,,0.0,0.0,5,
J.T. Smith,28,KAN,9,1,0,0,0,,,0.0,0.0,0,
Ron Smith,27,PHI,2,0,0,0,0,,,0.0,0.0,0,
John Stallworth,31,PIT,4,4,0,0,0,,,0.0,0.0,0,
Stephen Starring,22,NWE,15,3,0,0,0,,,0.0,0.0,1,
Tim Stracka,24,CLE,13,0,0,0,0,,,0.0,0.0,0,
Zach Thomas,23,DEN,16,0,0,0,0,,,0.0,0.0,4,
Ken Thompson,25,STL,5,0,0,0,0,,,0.0,0.0,0,
John Tice,23,NOR,16,1,0,0,0,,,0.0,0.0,0,
Pat Tilley,30,STL,16,16,0,0,0,,,0.0,0.0,1,
Perry Tuttle,24,BUF,9,3,0,0,0,,,0.0,0.0,1,
Andre Tyler,24,TAM,14,0,0,0,0,,,0.0,0.0,1,
Tommy Vigorito,24,MIA,1,0,0,0,0,,,0.0,0.0,0,
Byron Walker,23,SEA,16,2,0,0,0,,,0.0,0.0,0,
Wesley Walker,28,NYJ,16,16,0,0,0,,,0.0,0.0,0,
Don Warren,27,WAS,13,13,0,0,0,,,0.0,0.0,0,
Brooks Williams,29,NWE,13,0,0,0,0,,,0.0,0.0,0,
Byron Williams,23,NYG,5,0,0,0,0,,,0.0,0.0,1,
Dokie Williams,23,RAI,16,0,0,0,0,,,0.0,0.0,2,
Mike Wilson,25,SFO,15,3,0,0,0,,,0.0,0.0,1,
Kellen Winslow,26,SDG,16,16,0,0,0,,,0.0,0.0,3,PB
Mark Witte,24,TAM,16,2,0,0,0,,,0.0,0.0,0,
Tony Woodruff,25,PHI,6,1,0,0,0,,,0.0,0.0,1,
Ben Young,23,ATL,11,6,0,0,0,,,0.0,0.0,0,
Charle Young,32,SEA,16,16,0,0,0,,,0.0,0.0,1,
Glen Young,23,PHI,16,0,0,0,0,,,0.0,0.0,2,
Tyrone Young,23,NOR,16,0,0,0,0,,,0.0,0.0,0,
League Average,,,,,,,,,4.1,9.6,2.3,,
